id,name,alcoholic,category,glassType,instructions,ingredients,ingredientMeasures,combinedIngredients
71,Coffee Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.","['Coffee', 'Vanilla extract', 'Sugar', 'Vodka', 'Water']","['10 tblsp instant ', '4 tblsp ', '2 1/2 cups ', '1 qt ', '2 1/2 cups ']","['Coffee (10 tblsp instant)', 'Vanilla extract (4 tblsp)', 'Sugar (2 1/2 cups)', 'Vodka (1 qt)', 'Water (2 1/2 cups)']"
72,Coke and Drops,Non alcoholic,Soft Drink,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.","['Coca-Cola', 'Lemon juice']","['1 dl ', '7 drops ']","['Coca-Cola (1 dl)', 'Lemon juice (7 drops)']"
73,Chocolate Drink,Non alcoholic,Cocoa,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.","['Chocolate', 'Milk', 'Water']","['125 gr', '3/4 L ', None]","['Chocolate (125 gr)', 'Milk (3/4 L)', 'Water']"
74,Cranberry Punch,Non alcoholic,Punch / Party Drink,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.","['Cranberry juice', 'Sugar', 'Pineapple juice', 'Almond flavoring', 'Ginger ale']","['4 cups ', '1 1/2 cup ', '4 cups ', '1 tblsp ', '2 qt ']","['Cranberry juice (4 cups)', 'Sugar (1 1/2 cup)', 'Pineapple juice (4 cups)', 'Almond flavoring (1 tblsp)', 'Ginger ale (2 qt)']"
75,Derby,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,"['gin', 'Peach Bitters', 'Mint']","['6 cl', '2 dashes', '2 Fresh leaves']","['gin (6 cl)', 'Peach Bitters (2 dashes)', 'Mint (2 Fresh leaves)']"
76,Diesel,Alcoholic,Beer,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,"['Lager', 'Cider', 'Blackcurrant cordial']","['1/2 pint ', '1/2 pint ', '1 dash ']","['Lager (1/2 pint)', 'Cider (1/2 pint)', 'Blackcurrant cordial (1 dash)']"
77,Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"['Light rum', 'Lime', 'Powdered sugar']","['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ']","['Light rum (1 1/2 oz)', 'Lime (Juice of 1/2)', 'Powdered sugar (1 tsp)']"
78,Danbooka,Alcoholic,Coffee / Tea,Coffee Mug,pour it in and mix it.,"['Coffee', 'Everclear']","['3 parts ', '1 part ']","['Coffee (3 parts)', 'Everclear (1 part)']"
79,Downshift,Alcoholic,Punch / Party Drink,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.","['Fruit punch', 'Sprite', 'Tequila', '151 proof rum']","['2 part ', '1 part ', '2 shots ', 'Float Bacardi ']","['Fruit punch (2 part)', 'Sprite (1 part)', 'Tequila (2 shots)', '151 proof rum (Float Bacardi)']"
80,Dragonfly,Alcoholic,Ordinary Drink,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.","['Gin', 'Ginger ale', 'Lime']","['1 1/2 oz ', '4 oz ', '1 ']","['Gin (1 1/2 oz)', 'Ginger ale (4 oz)', 'Lime (1)']"
81,Dry Martini,Alcoholic,Cocktail,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","['Gin', 'Dry Vermouth', 'Olive']","['1 2/3 oz ', '1/3 oz ', '1 ']","['Gin (1 2/3 oz)', 'Dry Vermouth (1/3 oz)', 'Olive (1)']"
82,Dry Rob Roy,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","['Scotch', 'Dry Vermouth', 'Lemon peel']","['2 1/2 oz ', '1 1/2 tsp ', '1 twist of ']","['Scotch (2 1/2 oz)', 'Dry Vermouth (1 1/2 tsp)', 'Lemon peel (1 twist of)']"
83,Dirty Nipple,Alcoholic,Shot,Shot glass,This is a layered shot - the Bailey's must be on top,"['Kahlua', 'Sambuca', 'Baileys irish cream']","[None, None, None]","['Kahlua', 'Sambuca', 'Baileys irish cream']"
84,Dirty Martini,Alcoholic,Cocktail,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.","['Vodka', 'Dry Vermouth', 'Olive Brine', 'Lemon', 'Olive']","['70ml/2fl oz', '1 tbsp', '2 tbsp', '1 wedge', '1']","['Vodka (70ml/2fl oz)', 'Dry Vermouth (1 tbsp)', 'Olive Brine (2 tbsp)', 'Lemon (1 wedge)', 'Olive (1)']"
85,Darkwood Sling,Alcoholic,Soft Drink,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.","['Cherry Heering', 'Soda water', 'Orange juice', 'Ice']","['1 part ', '1 part ', '1 part ', 'cubes']","['Cherry Heering (1 part)', 'Soda water (1 part)', 'Orange juice (1 part)', 'Ice (cubes)']"
86,Dark and Stormy,Alcoholic,Ordinary Drink,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,"['Dark Rum', 'Ginger Beer']","['5 cl', '10 cl']","['Dark Rum (5 cl)', 'Ginger Beer (10 cl)']"
87,Dark Caipirinha,Alcoholic,Cocktail,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.","['demerara Sugar', 'Lime', 'Cachaca']","['2 tsp ', '1', '2 1/2 oz']","['demerara Sugar (2 tsp)', 'Lime (1)', 'Cachaca (2 1/2 oz)']"
88,Duchamp's Punch,Alcoholic,Cocktail,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs","['Pisco', 'Lime Juice', 'Pineapple Syrup', 'St. Germain', 'Angostura Bitters', 'Pepper', 'Lavender']","['5 cl', '2.5 cl', '2.5 cl', '1.5 cl', '2 Dashes', 'Pinch', '2 sprigs']","['Pisco (5 cl)', 'Lime Juice (2.5 cl)', 'Pineapple Syrup (2.5 cl)', 'St. Germain (1.5 cl)', 'Angostura Bitters (2 Dashes)', 'Pepper (Pinch)', 'Lavender (2 sprigs)']"
89,Damned if you do,Alcoholic,Shot,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,"['Whiskey', 'Hot Damn']","['0.75 oz ', '0.25 oz ']","['Whiskey (0.75 oz)', 'Hot Damn (0.25 oz)']"
90,Dubonnet Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"['Dubonnet Rouge', 'Gin', 'Bitters', 'Lemon peel']","['1 1/2 oz ', '3/4 oz ', '1 dash ', '1 twist of ']","['Dubonnet Rouge (1 1/2 oz)', 'Gin (3/4 oz)', 'Bitters (1 dash)', 'Lemon peel (1 twist of)']"
91,Drinking Chocolate,Non alcoholic,Cocoa,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.","['Heavy cream', 'Milk', 'Cinnamon', 'Vanilla', 'Chocolate', 'Whipped cream']","['2 oz ', '6-8 oz ', '1 stick ', '1 ', '2 oz finely chopped dark ', 'Fresh ']","['Heavy cream (2 oz)', 'Milk (6-8 oz)', 'Cinnamon (1 stick)', 'Vanilla (1)', 'Chocolate (2 oz finely chopped dark)', 'Whipped cream (Fresh)']"
92,Death in the Afternoon,Alcoholic,Cocktail,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.","['Absinthe', 'Champagne']","['2 shots', 'Top']","['Absinthe (2 shots)', 'Champagne (Top)']"
93,Egg Cream,Non alcoholic,Other / Unknown,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.","['Chocolate syrup', 'Milk', 'Soda water']","['2 tblsp ', '6 oz whole ', '6 oz ']","['Chocolate syrup (2 tblsp)', 'Milk (6 oz whole)', 'Soda water (6 oz)']"
94,Egg Nog #4,Optional alcohol,Punch / Party Drink,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.","['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']","['6 ', '1/4 cup ', '2 cups ', '1/2 cup ', '1/2 cup ', '1 tsp ', '1/4 tsp ', '1 cup ', '6 ', '1/4 cup ', 'Ground ']","['Egg yolk (6)', 'Sugar (1/4 cup)', 'Milk (2 cups)', 'Light rum (1/2 cup)', 'Bourbon (1/2 cup)', 'Vanilla extract (1 tsp)', 'Salt (1/4 tsp)', 'Whipping cream (1 cup)', 'Egg white (6)', 'Sugar (1/4 cup)', 'Nutmeg (Ground)']"
95,English Highball,Alcoholic,Ordinary Drink,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)","['Brandy', 'Gin', 'Sweet Vermouth', 'Carbonated water', 'Lemon peel']","['3/4 oz ', '3/4 oz ', '3/4 oz ', None, None]","['Brandy (3/4 oz)', 'Gin (3/4 oz)', 'Sweet Vermouth (3/4 oz)', 'Carbonated water', 'Lemon peel']"
96,Espresso Martini,Alcoholic,Cocktail,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass","['Vodka', 'Kahlua', 'Sugar syrup']","['5 cl', '1 cl', '1 dash']","['Vodka (5 cl)', 'Kahlua (1 cl)', 'Sugar syrup (1 dash)']"
97,Espresso Rumtini,Alcoholic,Cocktail,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,"['Rum', 'Vanilla syrup', 'Espresso', 'Coffee']","['1 shot', '1/2 shot', '1 shot', '1 shot']","['Rum (1 shot)', 'Vanilla syrup (1/2 shot)', 'Espresso (1 shot)', 'Coffee (1 shot)']"
98,Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.","['Egg', 'Sugar', 'Condensed milk', 'Milk', 'Vanilla extract', 'Rum', 'Nutmeg']","['1/2 cup ', '3 tblsp ', '13 oz skimmed ', '3/4 cup skimmed ', '1 tsp ', '1 tsp ', '\n']","['Egg (1/2 cup)', 'Sugar (3 tblsp)', 'Condensed milk (13 oz skimmed)', 'Milk (3/4 cup skimmed)', 'Vanilla extract (1 tsp)', 'Rum (1 tsp)', 'Nutmeg ()']"
99,English Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,"['Apricot brandy', 'Gin', 'Dry Vermouth', 'Grenadine', 'Lemon juice', 'Cherry']","['3/4 oz ', '1 1/2 oz ', '3/4 oz ', '1 tsp ', '1/4 tsp ', '1 ']","['Apricot brandy (3/4 oz)', 'Gin (1 1/2 oz)', 'Dry Vermouth (3/4 oz)', 'Grenadine (1 tsp)', 'Lemon juice (1/4 tsp)', 'Cherry (1)']"
100,Elderflower Caipirinha,Alcoholic,Cocktail,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,"['Cachaca', 'Lime', 'Elderflower cordial']","['60 ml', '1', '3 cl']","['Cachaca (60 ml)', 'Lime (1)', 'Elderflower cordial (3 cl)']"
101,Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.","['Egg', 'Sugar', 'Salt', 'Milk', 'Vanilla extract']","['6 ', '1/4 cup ', '1/4 tsp ', '1 qt ', '1 tsp ']","['Egg (6)', 'Sugar (1/4 cup)', 'Salt (1/4 tsp)', 'Milk (1 qt)', 'Vanilla extract (1 tsp)']"
102,Empellón Cocina's Fat-Washed Mezcal,Alcoholic,Cocktail,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.","['Mezcal', 'Chocolate liqueur', 'Coffee liqueur']","['2 oz', '3/4 oz', '1/2 oz']","['Mezcal (2 oz)', 'Chocolate liqueur (3/4 oz)', 'Coffee liqueur (1/2 oz)']"
103,Frosé,Alcoholic,Cocktail,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","['Rose', 'Sugar', 'Strawberries', 'Lemon Juice']","['750 ml', '1/2 cup', '8 oz', '2-3 oz']","['Rose (750 ml)', 'Sugar (1/2 cup)', 'Strawberries (8 oz)', 'Lemon Juice (2-3 oz)']"
104,Frappé,Non alcoholic,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.","['Coffee', 'Milk', 'Sugar']","['1/2 cup black ', '1/2 cup ', '1-2 tsp ']","['Coffee (1/2 cup black)', 'Milk (1/2 cup)', 'Sugar (1-2 tsp)']"
105,Foxy Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","['Amaretto', 'Creme de Cacao', 'Light cream']","['1/2 oz ', '1/2 oz ', '2 oz ']","['Amaretto (1/2 oz)', 'Creme de Cacao (1/2 oz)', 'Light cream (2 oz)']"
106,French 75,Alcoholic,Ordinary Drink,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","['Gin (1 1/2 oz)', 'Sugar (2 tsp superfine)', 'Lemon juice (1 1/2 oz)', 'Champagne (4 oz Chilled)', 'Orange (1)', 'Maraschino cherry (1)']"
107,Figgy Thyme,Alcoholic,Cocktail,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.","['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']","['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']","['Vodka (2 oz)', 'Honey (1 tsp)', 'Figs (3)', 'Thyme (1 Sprig)', 'Angostura Bitters (2 dashes)', 'Tonic Water (Top)']"
108,Frisco Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']","['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']","['Blended whiskey (2 oz)', 'Benedictine (1/2 oz)', 'Lemon (Juice of 1/4)', 'Lime (Juice of 1/2)', 'Lemon (1 slice)', 'Lime (1 slice)']"
109,Fruit Shake,Non alcoholic,Other / Unknown,Highball Glass,Blend til smooth.,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']","['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']","['Yoghurt (1 cup fruit)', 'Banana (1)', 'Orange juice (4 oz frozen)', 'Fruit (1/2 piece textural)', 'Ice (6)']"
110,Fruit Cooler,Non alcoholic,Other / Unknown,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.","['Apple juice', 'Strawberries', 'Sugar', 'Lemon', 'Apple', 'Soda water', 'Ice']","['1 can frozen ', '1 cup ', '2 tblsp ', '1 ', '1 ', '1 L ', None]","['Apple juice (1 can frozen)', 'Strawberries (1 cup)', 'Sugar (2 tblsp)', 'Lemon (1)', 'Apple (1)', 'Soda water (1 L)', 'Ice']"
111,Freddy Kruger,Alcoholic,Shot,Shot glass,make it an ample size shot!!,"['Jägermeister', 'Sambuca', 'Vodka']","['1/2 oz ', '1/2 oz ', '1/2 oz ']","['Jägermeister (1/2 oz)', 'Sambuca (1/2 oz)', 'Vodka (1/2 oz)']"
112,Funk and Soul,Alcoholic,Cocktail,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,"['Rum', 'Apricot Nectar', 'Pomegranate juice', 'lemon', 'Soda Water']","['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']","['Rum (2 shots)', 'Apricot Nectar (1 shot)', 'Pomegranate juice (1 shot)', 'lemon (Juice of 1/2)', 'Soda Water (Top)']"
113,Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,"['Coffee', 'Peach schnapps']","['1/2 ', '1/2 ']","['Coffee (1/2)', 'Peach schnapps (1/2)']"
114,French Martini,Alcoholic,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']","['4.5 cl', '1.5 cl', '1.5 cl']","['Vodka (4.5 cl)', 'Raspberry Liqueur (1.5 cl)', 'pineapple juice (1.5 cl)']"
115,French Negroni,Alcoholic,Cocktail,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","['Gin', 'Lillet', 'Sweet Vermouth', 'Orange Peel']","['1 oz', '1 oz', '1 oz', '1']","['Gin (1 oz)', 'Lillet (1 oz)', 'Sweet Vermouth (1 oz)', 'Orange Peel (1)']"
116,Fahrenheit 5000,Alcoholic,Shot,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']","['1/2 oz ', '1/2 oz ', '1 dash ']","['Firewater (1/2 oz)', 'Absolut Peppar (1/2 oz)', 'Tabasco sauce (1 dash)']"
117,Flying Dutchman,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.","['Gin', 'Triple sec']","['2 oz ', '1/2 oz ']","['Gin (2 oz)', 'Triple sec (1/2 oz)']"
118,Frozen Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.","['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']","['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']","['Light rum (1 1/2 oz)', 'Triple sec (1 tblsp)', 'Lime juice (1 1/2 oz)', 'Sugar (1 tsp)', 'Cherry (1)', 'Ice (1 cup crushed)']"
119,Fruit Flip-Flop,Non alcoholic,Other / Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['Yoghurt', 'Fruit juice']","['1 cup ', '1 cup ']","['Yoghurt (1 cup)', 'Fruit juice (1 cup)']"
120,Flying Scotchman,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']","['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']","['Scotch (1 oz)', 'Sweet Vermouth (1 oz)', 'Bitters (1 dash)', 'Sugar syrup (1/4 tsp)']"
121,French Connection,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"['Cognac', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']","['Cognac (1 1/2 oz)', 'Amaretto (3/4 oz)']"
122,Flaming Dr. Pepper,Alcoholic,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer","['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']","['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']","['Amaretto (1 oz)', 'Vodka (1 oz)', '151 proof rum (1 oz Bacardi)', 'Dr. Pepper (1 oz)', 'Beer (1 oz)']"
123,Flaming Lamborghini,Alcoholic,Cocktail,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","['Kahlua', 'Sambuca', 'Blue Curacao', 'Baileys irish cream']","['1 oz ', '1 oz ', '1 oz ', '1 oz ']","['Kahlua (1 oz)', 'Sambuca (1 oz)', 'Blue Curacao (1 oz)', 'Baileys irish cream (1 oz)']"
124,Flander's Flake-Out,Alcoholic,Ordinary Drink,Collins Glass,Bang 'em both in.,"['Sambuca', 'Sarsaparilla']","['1/4 glass ', '3/4 glass ']","['Sambuca (1/4 glass)', 'Sarsaparilla (3/4 glass)']"
125,Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,"['Light rum', 'Lime juice', 'Mint', 'Sugar']","['2 oz ', '1 tblsp ', '6 ', '1 tsp ']","['Light rum (2 oz)', 'Lime juice (1 tblsp)', 'Mint (6)', 'Sugar (1 tsp)']"
126,Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']","['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']","['Light rum (1 1/2 oz)', 'Pineapple (4 chunks)', 'Lime juice (1 tblsp)', 'Sugar (1/2 tsp)']"
